state,Average_Peratus_Keluar,Average_rosak_vs_keseluruhan
Perlis,76.93961413536333,1.578035404951175
Kedah,77.89680031730593,1.2161792213123965
Kelantan,71.73186129565143,1.5882533355158277
Terengganu,81.1264498568718,1.186491697015739
Pulau Pinang,77.9510591245834,1.2735418099723472
Perak,74.57397257281328,1.6499718571011284
Pahang,77.74802935303795,1.4890715806271744
Selangor,80.83424199822663,1.0958148125519933
W.P. Kuala Lumpur,74.83653467950704,0.8766307312332237
W.P. Putrajaya,86.21300809216203,0.8818199031621088
Negeri Sembilan,78.17616179397093,1.3265663926840254
Melaka,79.56948386888978,1.103989503633639
Johor,75.82937799831645,1.220984153002933
W.P. Labuan,64.6569553097743,1.0882414296641405
Sabah,64.94672443450524,1.7962705206789227
Sarawak,61.72255541596897,1.6273413856947987
